UID,SAMPLEID,STATION,MODEL,O,E,OE,MMI,AIM_rtg,MODELTEST,COUNT,INVASIVE_MACRO
10F6BA1A-314C-486C-8315-9B39B95CEA13,164388,RA-SS-12889,WY2018_SOUTH FH LARAMIE RANGE,13,18.53911156,0.701220226,,Fair,pass,285,ABSENT
17149CE2-EC0F-46DF-BF52-690063221512,164389,RA-SS-13081,WY2018_SOUTH FH LARAMIE RANGE,9,11.13717385,0.808104473,,Fair,pass,229,ABSENT
DF29B356-C0EC-46D1-AB93-B8046898941C,164390,RA-SS-13145,WY2018_WYOMING BASIN,2,8.709790233,0.229626655,,Poor,pass,37,ABSENT
39051CE0-07ED-4EC6-91B6-2AB171F776B3,164391,RA-SS-13202,WY2018_SOUTH FH LARAMIE RANGE,6,8.525640965,0.703759403,,Fair,pass,215,ABSENT
131DAD6D-908D-4308-A464-C85E390DE5D2,164392,RA-SS-13209,WY2018_WYOMING BASIN,0,7.709326419,0,,Poor,pass,300,ABSENT
B4DC8261-7F0B-46DE-8304-06F7112743E3,164393,RA-SS-13337,WY2018_SOUTH FH LARAMIE RANGE,11,11.00514763,0.999532253,,Good,pass,300,ABSENT
7B2277F5-8180-4CF4-8F0A-B5BD8A76F4A7,164394,RA-SS-13458,WY2018_SOUTHERN ROCKIES,12,17.04947285,0.703834078,,Fair,pass,228,ABSENT
FFF5FFE9-6055-4F2D-85EE-C604C43BA3F1,164395,RA-SS-13593,WY2018_WYOMING BASIN,6,9.552259605,0.628123632,,Poor,pass,300,ABSENT
803667BA-BF32-4516-9D59-171195B7FE53,164396,RA-SS-13650,WY2018_SOUTH FH LARAMIE RANGE,7,10.29874347,0.679694569,,Poor,pass,299,ABSENT
C650FF92-FED8-4A4F-988B-90A6834BF3AD,164398,RA-SS-13906,WY2018_WYOMING BASIN,7,5.575595319,1.255471317,,Good,pass,292,ABSENT
E11A77C2-0206-42A5-9961-1DB0B0AE4F3B,164399,RA-SS-14085,WY2018_WYOMING BASIN,1,8.653420427,0.115561241,,Poor,pass,62,ABSENT
DEFA881A-5B6B-4AD7-9A7C-563C8B1AF248,164400,RA-SS-14233,WY2018_SOUTH FH LARAMIE RANGE,5,14.30516002,0.349524227,,Poor,pass,300,ABSENT
B737150E-7BB1-4798-9416-20503411B967,164401,RA-SS-14361,WY2018_WYOMING BASIN,4,6.806642041,0.587661284,,Poor,pass,300,ABSENT
DD6FBFBC-8BF7-41B0-B2FD-56A378F4E46D,164402,RA-SS-14425,WY2018_WYOMING BASIN,8,8.682290227,0.92141587,,Good,pass,300,ABSENT
C3A8E758-B008-44F6-B36F-2BAB30DBFCC7,164403,RA-SS-14482,WY2018_WYOMING BASIN,2,6.148427148,0.325286443,,Poor,pass,296,ABSENT
19F29168-3051-4BB4-A161-F3D2EA7BD816,164404,RA-TR-1078,WY2018_WYOMING BASIN,2,8.712574539,0.229553273,,Poor,pass,183,ABSENT
246398FE-61E7-4F39-9835-FDE61C8869C0,164405,RA-TR-1200,WY2018_SOUTH FH LARAMIE RANGE,8,12.51798899,0.639080287,,Poor,pass,300,ABSENT
687C603A-78C3-4E71-92ED-67CE372C6019,164406,RA-TR-1254,WY2018_WYOMING BASIN,0,8.713720491,0,,Poor,pass,24,ABSENT
DB9D419C-B398-421B-B1DE-3C629600202B,164407,RA-TR-1337,WY2018_WYOMING BASIN,2,8.665827038,0.23079159,,Poor,pass,44,ABSENT
5C6C2D81-B8E8-4869-AFA8-622E236567F6,164408,RA-TR-1378,WY2018_SOUTH FH LARAMIE RANGE,11,10.47805752,1.049812904,,Good,pass,300,ABSENT
D3C41A80-A29D-4EA0-B11B-C79ABF04AC65,164409,RA-TR-1397,WY2018_SOUTH FH LARAMIE RANGE,4,9.808139516,0.407824541,,Poor,pass,299,ABSENT
D8814E6C-9E39-44E0-8D45-B74B55B1EC94,164410,RA-TR-1431,WY2018_SOUTH FH LARAMIE RANGE,10,10.19769855,0.980613415,,Good,pass,300,ABSENT
5F4240E9-00F7-4E3A-BDF3-C400B970549E,164411,WYENCAMP-5,WY2018_SOUTH FH LARAMIE RANGE,9,11.74703275,0.766150924,,Fair,pass,139,ABSENT
B885C323-A1AB-4EB6-8E31-7657A8D42606,164412,RA-TR-1449,WY2018_WYOMING BASIN,2,8.099481553,0.246929385,,Poor,pass,4,ABSENT
5A542E6E-9845-4D46-A452-92A0C5BCF5AF,164810,RA-TR-001,WY2018_WYOMING BASIN,3,7.862044487,0.381580135,,Poor,pass,300,ABSENT
761BBC0A-62CF-4603-AD59-4AD4A13A4D2F,164811,WF&G-02,WY2018_WYOMING BASIN,4,6.697156999,0.597268363,,Poor,pass,300,ABSENT
2D1D6BDB-1A7B-4D74-9ABB-2A16C1A690CE,164812,RA-TR-004,WY2018_WYOMING BASIN,7,7.110627166,0.984441996,,Good,pass,300,ABSENT
B8101C18-5B1D-43F5-9EC6-B1AC7879DCF9,164813,WF&G-05,WY2018_WYOMING BASIN,7,8.567465648,0.81704442,,Good,pass,300,ABSENT
27CF3C00-25C5-4A5E-BF33-3029BD32F5A4,164814,RA-TR-006,WY2018_WYOMING BASIN,3,7.073339981,0.424127782,,Poor,pass,300,ABSENT
667A1C46-1F36-428D-82E5-AD31B9EC577F,164815,RA-TR-006,WY2018_WYOMING BASIN,1,7.073339981,0.141375927,,Poor,pass,300,ABSENT
79456EB4-B985-4B7F-97FD-FBC68C9763AC,168052,RS-LS-11113,WY2018_WYOMING BASIN,2,8.297438125,0.241038254,,Poor,pass,300,ABSENT
84E91549-0584-472B-A615-CF8E7768B7CF,168053,RS-SS-10537,WY2018_WYOMING BASIN,4,12.90905446,0.30986003,,Poor,pass,300,ABSENT
E7139A9D-E99A-4ABD-80A6-9DF2655A56EE,168055,KN-LS-10321,WY2018_WYOMING BASIN,4,8.810895404,0.453983371,,Poor,pass,283,ABSENT
EAE6EDF3-9872-4BE6-B731-8FED36D2738C,168056,KN-LS-14417,WY2018_WYOMING BASIN,2,8.7904489,0.227519666,,Poor,pass,300,ABSENT
33478875-674A-458D-8810-E9D6E3FD77FA,168057,KN-LS-15441,WY2018_WYOMING BASIN,3,9.161767298,0.32744774,,Poor,pass,300,PRESENT
5832F7B3-92D9-4FD9-B4C5-F1012D08E2A3,168058,KN-RV-11689,WY2018_WYOMING BASIN,2,13.27935025,0.150609778,,Poor,pass,300,ABSENT
61E9D7BE-CAA2-4D01-BA70-5B8BFDFA6AD3,168059,KN-SS-10337,WY2018_HIGH VALLEYS,7,11.75836127,0.595321052,,Poor,pass,300,ABSENT
82499AD1-A2ED-40C9-B8EF-867AE7F14E24,168060,KN-SS-10401,WY2018_SEDIMENTARY MNTS,6,8.904038349,0.673851545,,Poor,pass,300,ABSENT
A7DF6BA6-AB73-4775-9C7E-DA34604323C5,168061,KN-SS-10593,WY2018_SEDIMENTARY MNTS,0,8.567241448,0,,Poor,pass,300,ABSENT
15C826DE-29AF-4AAA-98EE-BB39F184D91B,168062,KN-SS-10785,WY2018_SEDIMENTARY MNTS,3,8.948565987,0.335249246,,Poor,pass,173,ABSENT
777D1E36-8761-4FED-9E9D-CB259960C3CF,168063,KN-SS-11089,WY2018_HIGH VALLEYS,4,11.66755181,0.342831132,,Poor,pass,300,ABSENT
F572ACF2-35D1-4E67-9CC6-956EEC996AE5,168064,KN-SS-11169,WY2018_SEDIMENTARY MNTS,5,10.39005706,0.481229311,,Poor,pass,300,ABSENT
F9EF8324-52A6-47D1-9187-F067E62EBEF9,168065,KN-SS-11617,WY2018_SEDIMENTARY MNTS,4,9.260881407,0.43192433,,Poor,pass,300,ABSENT
32481DDE-8F4C-443A-8A80-32AC51617DF9,168066,KN-SS-11809,WY2018_SEDIMENTARY MNTS,4,8.95925313,0.446465787,,Poor,pass,300,ABSENT
B02B0C90-3352-4407-9F2E-7BD738D62CED,168067,KN-SS-13665,WY2018_HIGH VALLEYS,8,13.33336067,0.59999877,,Poor,pass,300,ABSENT
4B1B3F91-5723-4064-BE6E-839E8CDB5CAD,168068,KN-SS-15185,WY2018_SEDIMENTARY MNTS,7,7.69794315,0.909333813,,Good,pass,298,ABSENT
9E786CD4-1C15-46ED-8912-CABA499A48E8,168069,KS-LS-11481,WY2018_WYOMING BASIN,10,12.66609112,0.789509558,,Fair,pass,300,ABSENT
