scientific_name,model_abbreviation
Dubiraphia,WestWide
Dysmicohermes,WestWide
Dytiscus,WestWide
Ecclisocosmoecus,WestWide
Ecclisomyia,WestWide
Empididae,WestWide
Epeorus,WestWide
Ephemera,WestWide
Ephemerella,WestWide
Ephydridae,WestWide
Erioptera,WestWide
Erpobdellidae,WestWide
Eubrianax,WestWide
Fallceon,WestWide
Farula,WestWide
FERRISSIA,WestWide
Gammarus,WestWide
Glossosoma,WestWide
Glutops,WestWide
GOERA,WestWide
Gomphidae,WestWide
Gonomyia,WestWide
Gumaga,WestWide
GYRAULUS,WestWide
Gyrinus,WestWide
Helichus,WestWide
Helicopsyche,WestWide
HELISOMA,WestWide
Helius,WestWide
HELOBDELLA,WestWide
Helophorus,WestWide
Heptagenia,WestWide
Hesperoconopa,WestWide
Hesperoperla,WestWide
Hesperophylax,WestWide
HETAERINA,WestWide
Heterelmis,WestWide
Heterlimnius,WestWide
Heteroplectron,WestWide
Hexatoma,WestWide
Himalopsyche,WestWide
Homoleptohyphes,WestWide
Homophylax,WestWide
Hyalellidae,WestWide
Hydaticus,WestWide
Hydatophylax,WestWide
Hydraena,WestWide
Hydrobiidae,WestWide
Hydroporus,WestWide
Hydropsyche,WestWide
Hydroptila,WestWide
Hygrotus,WestWide
Ironodes,WestWide
Isonychia,WestWide
Ithytrichia,WestWide
Juga,WestWide
KATHROPERLA,WestWide
Laccobius,WestWide
Lara,WestWide
Lepidostoma,WestWide
Leptohyphes,WestWide
Leptophlebiidae,WestWide
Lestes,WestWide
LETHOCERUS,WestWide
Leucotrichia,WestWide
LEUCROCUTA_NIXE,WestWide
Leuctridae,WestWide
Libellulidae,WestWide
Limnichidae,WestWide
Limnophila,WestWide
Limonia,WestWide
Liodessus,WestWide
Lymnaeidae,WestWide
Malenka,WestWide
Margaritifera,WestWide
Marilia,WestWide
Mayatrichia,WestWide
MENETUS,WestWide
Meringodixa,WestWide
Metrichia,WestWide
Micrasema,WestWide
Microcylloepus,WestWide
Molophilus,WestWide
Muscidae,WestWide
Mystacides,WestWide
NAMAMYIA,WestWide
Narpus,WestWide
Nectopsyche,WestWide
Nemata,WestWide
Nematomorpha,WestWide
Nemertea,WestWide
Neocylloepus,WestWide
Neohermes,WestWide
Neophylax,WestWide
Neothremma,WestWide
Neotrichia,WestWide
Ochrotrichia,WestWide
Ochthebius,WestWide
Oecetis,WestWide
OLIGOCHAETA,WestWide
Oligoneuriidae,WestWide
Oligophlebodes,WestWide
Onocosmoecus,WestWide
Oplonaeschna,WestWide
Optioservus,WestWide
Ordobrevia,WestWide
Oreodytes,WestWide
Orohermes,WestWide
Other_Chironomidae,WestWide
OTHER_CHLOROPERLIDAE,WestWide
Other_Coenagrionidae,WestWide
Oulimnius,WestWide
Oxyethira,WestWide
Paracloeodes,WestWide
Paracymus,WestWide
PARAPERLA,WestWide
Parapsyche,WestWide
Parthina,WestWide
Pedicia,WestWide
Pedomoecus,WestWide
Peltodytes,WestWide
Perlodidae,WestWide
PETROPHILA,WestWide
Phylloicus,WestWide
Physidae,WestWide
Pisidiidae,WestWide
PLANORBELLA,WestWide
PLATYHELMINTHES,WestWide
Plauditus,WestWide
Podmosta,WestWide
Polycentropus,WestWide
Postelichus,WestWide
Prionocera,WestWide
Prostoia,WestWide
PROTOPTILA,WestWide
Psephenus,WestWide
Pseudolimnophila,WestWide
Psychodidae,WestWide
Psychoglypha,WestWide
Psychomyia,WestWide
Pteronarcella,WestWide
Pteronarcys,WestWide
PTYCHOPTERA,WestWide
Pycnopsyche,WestWide
Rhabdomastix,WestWide
Rhithrogena,WestWide
Rhizelmis,WestWide
RHYACOPHILA,WestWide
Sciomyzidae,WestWide
Scirtidae,WestWide
Sericostriata,WestWide
Serratella,WestWide
Sialis,WestWide
SIERRAPERLA,WestWide
Simuliidae,WestWide
Siphlonuridae,WestWide
SIPHLONURUS,WestWide
Smicridea,WestWide
Soliperla,WestWide
Soyedina,WestWide
Stactobiella,WestWide
Stenelmis,WestWide
Stenocolus,WestWide
Stenonema,WestWide
Stictotarsus,WestWide
Stratiomyidae,WestWide
Stygobromus,WestWide
Tabanidae,WestWide
TAENIONEMA,WestWide
TAENIOPTERYX,WestWide
Tanypodinae,WestWide
Thaumaleidae,WestWide
Timpanoga,WestWide
Tinodes,WestWide
Tipula,WestWide
Tricoryhyphes,WestWide
Tricorythodes,WestWide
Tropisternus,WestWide
Valvatidae,WestWide
Visoka,WestWide
VORTICIFEX,WestWide
Wormaldia,WestWide
Ylodes,WestWide
Yoraperla,WestWide
YPHRIA,WestWide
Zaitzevia,WestWide
Zapada,WestWide
Zumatrichia,WestWide
Acari,WY
Acentrella,WY
Agapetus,WY
Agraylea,WY
Ameletus,WY
Ancylidae,WY
Antocha,WY
Apatania,WY
Arctopsyche,WY
Atherix,WY
Baetis,WY
Brachycentrus_americanus,WY
Brachycentrus_occidentalis,WY
Brillia,WY
Caenis,WY
Capniidae,WY
Caudatella,WY
Ceratopogoninae,WY
Chaetocladius,WY
Chelifera,WY
Cheumatopsyche,WY
Chloroperlidae,WY
Cinygmula,WY
Claassenia,WY
Cladotanytarsus,WY
Cleptelmis,WY
Clinocera,WY
Coenagrionidae,WY
Corynoneura,WY
Cricotopus_bicinctus,WY
Cricotopus_Cricotopus,WY
Cricotopus_Nostococladius,WY
Cricotopus_trifascia,WY
D_coloradensis_flavilinea,WY
D_grandis_spinifera,WY
Diamesa,WY
Dicranota,WY
Diphetor,WY
Dixidae,WY
Dolophilodes,WY
Doroneuria,WY
Drunella_doddsi,WY
Dubiraphia,WY
Dytiscidae,WY
Enchytraeidae,WY
Epeorus,WY
Ephemerella,WY
Eukiefferiella,WY
Fallceon_quilleri,WY
Gammarus,WY
Glossosoma,WY
Gomphidae,WY
Helicopsyche,WY
Hemerodromia,WY
Heptagenia_Nixe,WY
Hesperoperla,WY
Heterlimnius,WY
Hexatoma,WY
Hyalella,WY
Hydrobaenus,WY
Hydropsyche,WY
Hydroptila,WY
Isoperla,WY
Lepidostoma,WY
Malenka,WY
Megarcys,WY
Micrasema,WY
Microcylloepus,WY
Micropsectra,WY
Microtendipes,WY
Naididae,WY
Narpus,WY
Nectopsyche,WY
Nematoda,WY
Neophylax,WY
Neothremma,WY
Ochrotrichia,WY
Oecetis,WY
Oligophlebodes,WY
Optioservus,WY
Orthocladius,WY
Pagastia,WY
Paraleptophlebia,WY
Parametriocnemus,WY
Parapsyche,WY
Parorthocladius,WY
Pericoma,WY
Petrophila,WY
Physidae,WY
Pisidiidae,WY
Polypedilum,WY
Potthastia,WY
Prosimulium,WY
Protoptila,WY
Psychomyiidae,WY
Pteronarcella,WY
Pteronarcys,WY
R_betteni,WY
R_brunnea,WY
R_coloradensis,WY
R_hyalinata,WY
R_pellisa,WY
Rheocricotopus,WY
Rheotanytarsus,WY
Rhithrogena,WY
Serratella,WY
Simulium,WY
Skwala,WY
Sphaeriidae,WY
Stempellina,WY
Stempellinella,WY
Sublettea,WY
Taeniopterygidae,WY
Tanytarsus,WY
Thienemanniella,WY
Thienemannimyia,WY
Tipula,WY
Tricorythodes,WY
Turbellaria,WY
Tvetenia,WY
Wiedemannia,WY
Zaitzevia,WY
Zapada_cinctipes,WY
Zapada_columbiana,WY
Zapada_oregonensis,WY
Ablabesmyia,NV
Acentrella,NV
Agabus,NV
Agapetus,NV
Ambrysus,NV
Ameletus,NV
Amiocentrus,NV
Anagapetus,NV
Antocha,NV
Apatania,NV
Apedilum,NV
Arctopsyche,NV
Argia,NV
Athericidae,NV
Atractides,NV
Atrichopogon,NV
Attenella,NV
Aturus,NV
Baetis,NV
Baetodes,NV
Bezzia_Palpomyia,NV
Boreochlus,NV
Boreoheptagyia,NV
Brachycentrus_americanus,NV
Brachycentrus_occidentalis,NV
Brillia,NV
Brundiniella,NV
Brychius,NV
Caenis,NV
Calineuria_californica,NV
Capniidae,NV
Cardiocladius,NV
Caudatella,NV
Centroptilum,NV
Ceraclea,NV
Ceratopsyche_Hydropsyche,NV
Chaetocladius,NV
Chelifera_Metachela,NV
Cheumatopsyche,NV
Chironomus,NV
Choroterpes,NV
Cinygmula,NV
Claassenia,NV
Cladotanytarsus,NV
Cleptelmis,NV
Clinocera,NV
Constempellina,NV
Corbicula,NV
Corixidae,NV
Corynoneura,NV
Cricotopus,NV
Cryptochironomus,NV
Cryptolabis,NV
Cryptotendipes,NV
Culicoides,NV
Demicryptochironomus,NV
Diamesa,NV
Dicosmoecus,NV
Dicranota,NV
Dicrotendipes,NV
Diphetor,NV
Diplocladius,NV
Dixa,NV
Dolichopodidae,NV
Dolophilodes,NV
Doroneuria,NV
Drunella_coloradensis_flavilinea,NV
Drunella_doddsii,NV
Drunella_grandis,NV
Drunella_spinifera,NV
Dubiraphia,NV
Epeorus,NV
Ephemera,NV
Ephemerella,NV
Ephoron,NV
Ephydridae,NV
Erioptera,NV
Estelloxus,NV
Eukiefferiella,NV
Fallceon,NV
Feltria,NV
Gammarus,NV
Glossosoma,NV
Glutops,NV
Gomphidae,NV
Haliplus,NV
Heleniella,NV
Helichus,NV
Helicopsyche,NV
Helobdella,NV
Hemerodromia,NV
Heptagenia,NV
Hesperoperla,NV
Hesperophylax,NV
Heterlimnius,NV
Heterotrissocladius,NV
Hexatoma,NV
Hyalella,NV
Hydraena,NV
Hydrophilidae,NV
Hydroptila,NV
Hygrobates,NV
Ironodes,NV
Isoperla,NV
